,hspt_name,original_link,hand_link
0,연세사랑병원,http://www.yonserang.com/template/main/main.php,
1,연세건우병원,http://www.healthyfriend.co.kr/,
2,목동힘찬병원,https://himchanhospital.com/index.php,https://himchanhospital.com/index.php/br/notice/27/br_cd/4
3,우리들병원,https://www.wooridul.co.kr/,
4,의)상원의료재단부평힘찬병원,https://himchanhospital.com/index.php,https://himchanhospital.com/index.php/br/notice/27/br_cd/5
5,바른세상병원,https://www.barunsesang.co.kr/,
6,의료법인나누리의료재단나누리병원,http://www.nanoori.co.kr/,
7,제일정형외과병원,http://www.cheilos.com/,
8,나누리수원병원,http://sw.nanoori.co.kr/customer,http://sw.nanoori.co.kr/
9,안산21세기병원,http://www.ansan21.com/,
10,대찬병원,https://www.daechanhospital.com/,
11,미래병원,http://www.miraehospital.com/,
12,뿌리병원,http://www.ppuricj.co.kr/,
13,연세본사랑병원(舊.연세사랑병원),http://www.bucheon-yonserang.com/template/main/intro.php,http://www.bucheon-yonserang.com/template/main/main.php
14,바로병원,http://www.baro119.co.kr/,
15,의료법인 상원의료재단 부산힘찬병원,https://himchanhospital.com/index.php,https://himchanhospital.com/index.php/br/notice/27/br_cd/7
16,달려라병원,http://www.hospitalrun.co.kr/,
17,의료법인 토마스의료재단 윌스기념병원,https://anyspine.co.kr/,
18,에이스병원,http://www.acemedi.com/,http://www.acehospital.co.kr/
19,대전우리병원,http://www.woorispine.com/default/,
20,세계로병원,https://www.segyero365.com/,
21,최경진정형외과의원,http://www.foothospital.co.kr/,
22,부산본병원,http://www.bonhospital.co.kr/,
23,MS재건병원,http://www.msrhospital.kr/,
24,청주프라임병원,https://cjprime18998523.modoo.at/,
25,강남베드로병원,http://www.goodspine.org/,
26,예손병원,https://www.yesonhospital.com/,
27,메트로병원,http://www.metrohosp.com/,
28,마디병원,http://madi.or.kr/main/ko/index.html,
29,강북연세병원,http://www.ysloves.com/,
30,서울척병원,https://www.seoulchuk.com/main.do,
31,의료법인고려의료재단부산고려병원,http://www.koreah.co.kr/03_Medical/,http://www.koreah.co.kr/00_Main/main.html
32,의료법인 장산의료재단이춘택병원,http://www.lct.co.kr/,
33,나누리병원,http://www.nanoori.co.kr/,
34,(의) 상원의료재단 인천힘찬병원,https://himchanhospital.com/index.php,https://himchanhospital.com/index.php/br/notice/27/br_cd/6
35,국제나은병원,https://www.naeunhospital.com/,
36,굿닥터튼튼병원,http://www.tntnhospital.com/,
37,고도일병원,https://www.godoil.com/,
38,의료법인 상원의료재단 강북힘찬병원,https://www.hankyung.com/society,https://himchanhospital.com/index.php/br/notice/27/br_cd/2
39,예스병원,http://www.yespine.co.kr/,
40,대한민국정형외과병원,http://xn--vb0bjir1m4wkq9m1kcz50bnkb.kr/,
41,참포도나무병원,https://www.champodonamu.com/,
42,세흥병원,http://www.sehunghospital.co.kr/,
43,의료법인 상원의료재단 창원힘찬병원,http://kaompt.hihompy.co.kr/bbs/,https://himchanhospital.com/index.php/br/notice/27/br_cd/8
44,척탑병원,http://www.topspine.co.kr/,
45,의료법인바른병원,http://www.barun.or.kr/,
46,휴병원,http://www.hu-hospital.co.kr/kr/,
47,안강병원,http://www.ahnkang.com/,
48,21세기병원,http://www.ansan21.com/,
49,더블유병원,http://www.w-hospital.co.kr/front/,
50,더(the)큰병원,http://grandhospital.com/intro.asp,http://www.grandhospital.com/index.asp
51,새움병원,http://saeumhospital.mdrline.net/,
52,분당척병원,http://www.chukmedical.com/index.php,
53,부산센텀병원,https://www.centumhospital.com/main/,
54,평택21세기병원,http://www.pyeongtaek21.com/,
55,참튼튼병원,http://www.jangantntn.co.kr/jang_new/index.php,
56,이지정형외과의원,http://www.egos.kr/,
57,더열린병원,http://www.theopen-daegu.co.kr/,
58,바로선병원,http://www.barosun.net/,
59,힘내라병원,https://www.himnaera.co.kr/,
60,바른유병원,http://bareunyou.co.kr/,
61,한미병원,http://www.hanmihospital.com/,
62,서울제이에스병원,http://www.seouljs.co.kr/default/,
63,메가병원,http://www.megahospital.co.kr/,
64,평촌우리병원,https://www.woorijoint.com/,
65,글로벌튼튼병원,http://www.djtntn.com/,
66,의료법인 우신향병원,http://www.wshmc.co.kr/sub/,http://www.wshmc.co.kr/
67,the큰병원,http://www.ghgrandhospital.com/intro.asp,http://ghgrandhospital.com/index.asp
68,광명 새움병원,http://www.gmsaeum.com/,
69,사회복지법인 여수애양병원,http://www.wlc.or.kr/,
70,연세나무병원,http://www.yonseinamu.net/,
