,hspt_name,url,depth,text,date
129,연세사랑병원,http://www.yonserang.com/template/etc/non_pay_guide.php,1,연세사랑병원/비급여진료비이용안내,200318
143,연세건우병원,http://www.healthyfriend.co.kr/introduce/be,1,연세건우병원/-비급여,200318
402,바른세상병원,https://www.barunsesang.co.kr/guide/unlnsuraList.php,1,바른세상병원/비급여 진료비안내,200318
728,뿌리병원,http://www.ppuricj.co.kr/info/info05.html,1,뿌리병원/비급여 안내,200318
762,바로병원,http://www.baro119.co.kr/bbs/board.php?bo_table=medical3,1,바로병원/비급여항목,200318
996,달려라병원,http://www.hospitalrun.co.kr/rule/no-insure,1,달려라병원/비급여고지,200318
1056,의료법인 토마스의료재단 윌스기념병원,http://www.allspine.com/hosp/hosp05.html,1,의료법인 토마스의료재단 윌스기념병원/비급여 진료비 안내,200318
1067,에이스병원,http://www.acemedi.com/system/hpbbs/board.php?bo_table=medico,1,에이스병원/비급여진료비안내,200318
1175,최경진정형외과의원,http://www.foothospital.co.kr/content/content.asp?FolderName=sub05&filename=sub05_07,1,최경진정형외과의원/비급여항목 현황표,200318
1183,최경진정형외과의원,http://www.foothospital.co.kr/Module/MBoard/MBoard.asp?Gubun=1&Srno=157990&PState=View,1,최경진정형외과의원/비급여 안내,200318
1213,부산본병원,http://www.bonhospital.co.kr/notice/nonpay/index.jsp,1,부산본병원/비급여안내,200318
1299,강남베드로병원,http://www.goodspine.org/content/content.asp?FolderName=community&fileName=community_08,1,강남베드로병원/비급여 내역,200318
1383,예손병원,https://www.yesonhospital.com/page.php?pageIndex=120108,1,예손병원/비급여안내,200318
1500,강북연세병원,http://www.ysloves.com/template/etc/non_pay_guide.php,1,강북연세병원/비급여진료비이용안내,200318
1529,의료법인 장산의료재단이춘택병원,http://www.lct.co.kr/sub02/sub0207.php,1,의료법인 장산의료재단이춘택병원/비급여안내,200318
1614,국제나은병원,https://www.naeunhospital.com/bbs/board.php?bo_table=affc&p=foot&s=2,1,국제나은병원/비급여진료비 비용안내,200318
1641,굿닥터튼튼병원,http://www.tntnhospital.com/sub/sub0504.php?category=행위료,1,굿닥터튼튼병원/비급여 안내,200318
1689,고도일병원,https://www.godoil.com/guide/guide07.php,1,고도일병원/비급여현황,200318
1819,예스병원,http://www.yespine.co.kr/guide/page05.html?cate1=1&cate2=1,1,예스병원/비급여 진료비 안내,200318
1895,예스병원,http://www.yespine.co.kr/member/nonpay.html?cate1=1&cate2=1,1,예스병원/비급여진료비안내,200318
1900,대한민국정형외과병원,http://xn--vb0bjir1m4wkq9m1kcz50bnkb.kr/?page_id=768,1,대한민국정형외과병원/비급여항목,200318
1918,참포도나무병원,https://www.champodonamu.com/info/info04.php,1,참포도나무병원/비급여안내,200318
2014,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.php?menu=5,1,세흥병원/비급여진료비안내,200318
2064,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.html?menu=5,1,세흥병원/비급여진료비안내,200318
2165,휴병원,http://www.hu-hospital.co.kr/kr/index.php?pCode=nopayitem,1,휴병원/비급여안내,200318
2186,휴병원,http://www.hu-hospital.co.kr/kr/?pCode=nopayitem,1,휴병원/비급여안내,200318
2224,안강병원,http://www.ahnkang.com/bbs/content.php?id=i02,1,안강병원/비급여항목,200318
2256,더블유병원,http://www.w-hospital.co.kr/front/guide/index.php?sn=04,1,더블유병원/선택진료·비급여진료비 안내,200318
2299,더블유병원,http://www.w-hospital.co.kr/front/guide/price.php?sn=04,1,더블유병원/비급여진료비 목록,200318
2475,평택21세기병원,http://www.pyeongtaek21.com/page/1_7.php,1,평택21세기병원/비급여공지,200318
2594,더열린병원,http://www.theopen-daegu.co.kr/doc/m_info4.php,1,더열린병원/비급여공지,200318
2683,힘내라병원,https://www.himnaera.co.kr/info/info06.html,1,힘내라병원/비급여 진료비 고지,200318
2699,한미병원,http://www.hanmihospital.com/index.php?mid=certificate,1,한미병원/증명서 발급/비급여 안내 ,200318
2767,서울제이에스병원,http://www.seouljs.co.kr/default/info/sub_4.php,1,서울제이에스병원/비급여안내,200318
2899,평촌우리병원,https://www.woorijoint.com/begupyeo.php,1,평촌우리병원/비급여진료비안내,200318
2909,글로벌튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,글로벌튼튼병원/비급여안내,200318
3045,광명 새움병원,http://www.gmsaeum.com/bbs/board.php?bo_table=s0205,1,광명 새움병원/비급여항목리스트,200318
3070,사회복지법인 여수애양병원,http://www.wlc.or.kr/content/content.asp?FolderName=clinic&filename=treat_info,1,사회복지법인 여수애양병원/비급여내역,200318
3105,연세나무병원,http://www.yonseinamu.net/guide/guide_04.php,1,연세나무병원/비급여 안내,200318
3186,척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp,1,척시원병원/비급여수가안내,200318
3279,광주새우리병원,http://www.saewoori.com/sub03/sub0306-1.php,1,광주새우리병원/비급여수가안내,200318
3356,우리병원,https://www.swoori.com/default/customer/sub8.php,1,우리병원/비급여파일,200318
3383,바른마디병원,http://www.barunjoint.com/information/index.php,1,바른마디병원/비급여안내,200318
3481,더드림병원,http://www.the-dreamhospital.com/bbs/board.php?bo_table=sub02_03,1,더드림병원/비급여안내,200318
3528,안산튼튼병원,http://www.astntn.com/bbs/board.php?bo_table=sub02_06,1,안산튼튼병원/비급여 안내,200318
