,hspt_name,url
0,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php
1,강동병원,0
2,일산하이병원,http://www.hihospital.kr/content/?module=menu2.sub5
3,나누리병원,http://gn.nanoori.co.kr/policy/policy4
4,부산센텀병원,https://www.centumhospital.com/sub06/nopay1.php
5,대전우리병원,http://www.woorispine.com/default/
6,무룹병원,http://www.muruphospital.com/fee/fee.html
7,허리사랑병원,
8,바른유병원,http://bareunyou.co.kr/
9,굿모닝병원,http://www.gm-hospital.co.kr/
10,의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05.php
11,의료법인 토마스의료재단 안양윌스기념병원,https://anyspine.co.kr/hosp/hosp05.html
12,의료법인춘곡의료재단수성메트로병원,https://www.metro-suseong.co.kr/visitor/guide.php
13,인천하이병원,http://hihospital.co.kr/bbs/board.php?bo_table=notice&wr_id=16
14,생생병원,http://www.saengsaenghospital.com/01_operation_guide/06uninsured.php
15,모두병원,http://www.moduhosp.co.kr/content/content.asp?FolderName=guide&filename=guide05
16,강남병원,http://www.knmc.or.kr/board/bbs.list.php?B_GUBUN=A
17,척병원,https://www.seoulchuk.com/info/excluded/list.do
18,MS재건병원,
19,21세기병원,
20,서울대정병원,http://sdjhospital.com/bbs/board.php?bo_table=info
21,제일정형외과병원,http://www.cheilos.com/
22,척척병원,http://www.wisemanhospital.com/front/etc/non-sal-list/non-sal-list1
23,마디병원,
24,의료법인 나누리병원,
25,바로세움병원,http://www.baroseumspine.com/
26,광주OK병원,
27,허&리병원,
28,첨단우리병원,http://www.woori-hospital.com/
29,센텀병원,
30,기둥병원,http://www.kidunghospital.net/guide/guide_06.asp
31,초이스병원,
32,광주21세기병원,
33,서울바른병원(舊.바른병원),http://seoul.barunsesang.co.kr/?idx=c5d12fb463a5ed/c5d143e385870a/c5da3c612a5afe
