hspt_name,url,depth,text,date
튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/비급여안내,200327
일산하이병원,http://www.hihospital.kr/content/?module=menu2.sub5,1,일산하이병원/비급여 안내,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4,1,나누리병원/비급여진료비조회,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4?sca=cd01,1,나누리병원/행위,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4?sca=cd02,1,나누리병원/치료재료,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4?sca=cd03,1,나누리병원/제증명수수료,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4?sca=cd04,1,나누리병원/약제,200327
나누리병원,http://gn.nanoori.co.kr/policy/policy4?sca=cd06,1,나누리병원/기타,200327
의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05.php,1,의료법인 신의료재단 김해삼승병원/행위료,200327
의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05_01.php,1,의료법인 신의료재단 김해삼승병원/치료재료대,200327
의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05_02.php,1,의료법인 신의료재단 김해삼승병원/약제비,200327
의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05_03.php,1,의료법인 신의료재단 김해삼승병원/제증명수수료,200327
의료법인 신의료재단 김해삼승병원,http://www.ghsamsung.com/02_medicare/medicare_05_04.php,1,의료법인 신의료재단 김해삼승병원/기타,200327
의료법인 토마스의료재단 안양윌스기념병원,https://anyspine.co.kr/hosp/hosp05.html,1,의료법인 토마스의료재단 안양윌스기념병원/비급여 진료비 안내,200327
의료법인춘곡의료재단수성메트로병원,https://www.metro-suseong.co.kr/visitor/guide.php,1,의료법인춘곡의료재단수성메트로병원/비급여 안내,200327
생생병원,http://www.saengsaenghospital.com/01_operation_guide/05proof.php,1,생생병원/제증명 안내,200327
생생병원,http://www.saengsaenghospital.com/01_operation_guide/06uninsured.php,1,생생병원/비급여 비용 안내,200327
모두병원,http://www.moduhosp.co.kr/content/content.asp?FolderName=guide&filename=guide05,1,모두병원/비급여항목안내,200327
강남병원,http://www.knmc.or.kr/board/bbs.list.php?B_GUBUN=A,1,강남병원/비급여비용,200327
강남병원,http://www.knmc.or.kr/board/bbs.read.php?PAGE=1&SC_B_NEWS_KIND=&SC_WORD=&B_GUBUN=A&B_IDX=253,1,"강남병원/
비급여항목-행위료
비급여 안내 - 의료법 제45조 및 동법 시행규칙 제42조의 2에 의하여 비급여 행위료를 공지합니다.
2020-02-27
",200327
강남병원,http://www.knmc.or.kr/board/bbs.read.php?PAGE=1&SC_B_NEWS_KIND=&SC_WORD=&B_GUBUN=A&B_IDX=252,1,"강남병원/
비급여항목-치료재료대
비급여 안내 - 의료법 제45조 및 동법 시행규칙 제42조의 2에 의하여 비급여 치료재료대를 공지합니다.
2020-02-27
",200327
강남병원,http://www.knmc.or.kr/board/bbs.read.php?PAGE=1&SC_B_NEWS_KIND=&SC_WORD=&B_GUBUN=A&B_IDX=251,1,"강남병원/
비급여항목-약제비
비급여 안내 - 의료법 제45조 및 동법 시행규칙 제42조의 2에 의하여 비급여 약제비를 공지합니다.
2020-02-27
",200327
강남병원,http://www.knmc.or.kr/board/bbs.read.php?PAGE=1&SC_B_NEWS_KIND=&SC_WORD=&B_GUBUN=A&B_IDX=250,1,"강남병원/
비급여항목 - 제증명 수수료
비급여 안내 - 의료법 제45조 및 동법 시행규칙 제42조의 2에 의하여 비급여 제증명 수수료를 공지합니다.
2020-02-27
",200327
척병원,https://www.seoulchuk.com/info/excluded/list.do,1,척병원/비급여 안내,200327
서울대정병원,http://sdjhospital.com/bbs/board.php?bo_table=info,1,서울대정병원/비급여 안내,200327
