,hspt_name,url,depth,text,date
13,부산본병원,http://www.bonhospital.co.kr/notice/nonpay/index.jsp,1,부산본병원/비급여안내,200320
64,의료법인 백천의료재단 바로본병원,http://barobone.kr/06_customer/customer04.html,1,의료법인 백천의료재단 바로본병원/비급여고시,200320
74,스마일본병원,http://www.smilebone.com/page/fee,1,스마일본병원/비급여안내,200320
89,인본병원,http://www.inbone.kr/consult/unpaid/index.jsp,1,인본병원/비급여안내,200320
90,인본병원,http://www.inbone.kr/consult/unpaid2/index.jsp,1,인본병원/비급여안내,200320
98,의료법인성베드로병원,http://www.stpeters.co.kr/content/content.asp?FolderName=community&fileName=community_08,1,의료법인성베드로병원/비급여 내역,200320
117,본병원,http://www.bonehospital.co.kr/document/payment,1,본병원/비급여항목 안내,200320
124,오정본병원,http://www.ojbonhospital.co.kr/intro/non/index.jsp,1,오정본병원/비급여항목,200320
143,진주본병원,http://www.bon4567.co.kr/sub.asp?bct=05&mct=06,1,진주본병원/비급여 진료비안내,200320
172,바른본병원,http://www.barunbone.co.kr/Skin/pay.html,1,비급여_수작업기입,200317
180,본병원,http://www.bonehospital.co.kr/document/payment,1,비급여_수작업기입,200317
237,굿모닝병원,http://www.gm-hospital.co.kr/clinic_08.html#tabs-1,1,비급여_수작업기입,200335
247,제일정형외과병원,http://www.cheilos.com/main/sub2.asp?subpage=module/unreview.html&cate=1&parent_idx=1,1,비급여_수작업기입,200347
