병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
뿌리병원,일반구급차 이송처치료 추가요금(10km초과 1km당)-심야(이송),,,,,"1,200",,,AQ9055,,,,
뿌리병원,일반구급차 이송처치료 기본요금(10km이내)-심야(이송),,,,,"36,000",,,AQ9054,,,,
뿌리병원,"일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)",,,,,"15,000",,,AQ9053,,,,
뿌리병원,일반구급차 이송처치료 추가요금(10km초과 1km당),,,,,"1,000",,,AQ9052,,,,
뿌리병원,일반구급차 이송처치료 기본요금(10km이내),,,,,"30,000",,,AQ9051,,,,
뿌리병원,환의(상의 또는 하의),,,,,"15,000",,,AQ9045,,,,
뿌리병원,환의(한벌),,,,,"30,000",,,AQ9044,,,,
뿌리병원,노트롬액 3ml,,,,,"5,000",,,WNOTHROM,,"혈장응고약제,PRP시 사용(19.12.30시작)",,
뿌리병원,원포팜주,,,,,"5,000",,,WWON,,,,
뿌리병원,히루안주,,,,,"20,000",,,WHYRU-B,,,,
뿌리병원,페라미플루주,,,,,"32,800",,,WPERA,,,,
뿌리병원,인플루엔자 4가,,,,,"35,000",,,,,,,
뿌리병원,인플루엔자 3가,,,,,"20,000",,,,,,,
뿌리병원,글루치온주 (백옥주사),,,,,"35,000",,,WGLUC,,,,
뿌리병원,글루타온주1200mg (상동),,,,,"50,000",,,WGLUT,,,,
바로병원,[행위료][분류] 검사료 - 감염증 기타 검사[명칭] 인플루엔자 A·B 바이러스항원검사 [현장검사][구분] B-인플루엔자 진단키트 (간단),,,,,"30,000",,,CZ394,,,,
바로병원,[행위료][분류] 검사료 - 내시경 검사[명칭] 위장수면내시경환자관리[구분] B-수면내시경환자관리 (위장)[기타] 소화기 기관지 내시경검사및시술시의환자관리행위 · 건강검진 제외,,,,,"60,000",,,EA002,,,,
바로병원,[행위료][분류] 검사료 - 내시경검사[명칭] 대장수면내시경환자관리[구분] B-수면내시경환자관리 (대장)[기타] 소화기 기관지 내시경검사및시술시의환자관리행위 · 건강검진 제외,,,,,"60,000",,,EA003,,,,
바로병원,[행위료][분류] 검사료 - 순환기 기능검사[명칭] 동맥경화도검사(맥파전달속도측정)[구분] B-동맥경화측정,,,,,"70,000",,,EZ868,,,,
