병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
11205008,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
11206551,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
11206551,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
11206551,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
11206551,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
11206551,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
11206551,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
11206551,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
11206551,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
11206551,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
11206551,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
11206616,목동힘찬병원,비주요 비급여 검색된 자료가 없습니다.,,,,,비주요 비급여 검색된 자료가 없습니다.,,,,,,,
11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"100,000","100,000",MZ0070000,(특) 신장분사치료,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"240,000","240,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위  2000타,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"180,000","180,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위 1500타,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"120,000","120,000",SZ0840000,ESWT(체외충격파치료-편측)-한부위  2000타,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"90,000","90,000",SZ0840000,ESWT(체외충격파치료-편측)-한부위 1500타,,,
11206616,목동힘찬병원,,,경피적 풍선확장 경막외강 신경성형,행위/기타,,,"2,300,000","2,300,000",SZ6410000,경막외강내 유착박리 및 협착완화술 (풍선확장기능을 포함한),,,
11206616,목동힘찬병원,,,경피적 경막외강 신경성형술,행위/기타,,,"2,200,000","2,400,000",SZ6340000,경피적 경막외강 신경성형술(P.E.N),,,
11206616,목동힘찬병원,,,내시경적 경막외강 신경근성형술,행위/기타,,,"2,620,000","3,500,000",SZ6310000,내시경적 경막외강 신경근성형술,,,
11206616,목동힘찬병원,,,도수치료,행위/기타,,,"20,000","20,000",MX1220000,도수치료 K,,,
11206616,목동힘찬병원,,,도수치료,행위/기타,,,"2,000","2,000",MX1220000,도수치료 [1일당] kypho,,,
11206616,목동힘찬병원,,,도수치료,행위/기타,,,"30,000","30,000",MX1220000,도수치료 [1일당] kypho-adm,,,
11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"30,000","30,000",MZ0070000,신장분사(양측),,,
