,Unnamed: 0,병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,0.0,11205008,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
1,1.0,11206551,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
2,2.0,11206551,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
3,3.0,11206551,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
4,4.0,11206551,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
5,5.0,11206551,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
6,6.0,11206551,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
7,7.0,11206551,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
8,8.0,11206551,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
9,9.0,11206551,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
10,10.0,11206551,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
11,11.0,11206616,목동힘찬병원,비주요 비급여 검색된 자료가 없습니다.,,,,,비주요 비급여 검색된 자료가 없습니다.,,,,,,,
12,12.0,11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"100,000","100,000",MZ0070000,(특) 신장분사치료,,,
13,13.0,11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"240,000","240,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위  2000타,,,
14,14.0,11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"180,000","180,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위 1500타,,,
15,15.0,11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"120,000","120,000",SZ0840000,ESWT(체외충격파치료-편측)-한부위  2000타,,,
16,16.0,11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"90,000","90,000",SZ0840000,ESWT(체외충격파치료-편측)-한부위 1500타,,,
17,17.0,11206616,목동힘찬병원,,,경피적 풍선확장 경막외강 신경성형,행위/기타,,,"2,300,000","2,300,000",SZ6410000,경막외강내 유착박리 및 협착완화술 (풍선확장기능을 포함한),,,
18,18.0,11206616,목동힘찬병원,,,경피적 경막외강 신경성형술,행위/기타,,,"2,200,000","2,400,000",SZ6340000,경피적 경막외강 신경성형술(P.E.N),,,
19,19.0,11206616,목동힘찬병원,,,내시경적 경막외강 신경근성형술,행위/기타,,,"2,620,000","3,500,000",SZ6310000,내시경적 경막외강 신경근성형술,,,
20,20.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"20,000","20,000",MX1220000,도수치료 K,,,
21,21.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"2,000","2,000",MX1220000,도수치료 [1일당] kypho,,,
22,22.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"30,000","30,000",MX1220000,도수치료 [1일당] kypho-adm,,,
23,23.0,11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"30,000","30,000",MZ0070000,신장분사(양측),,,
24,24.0,11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"60,000","60,000",MZ0070000,신장분사(편측),,,
25,25.0,11206616,목동힘찬병원,,,"자가 골수 줄기세포 치료-연골결손(동 행위를 위해 실시한 골수천자, 미세천공술 및 관절경 치료재료대 포함)",행위/기타,,,"1,500,000","1,500,000",SZ0850000,연골결손 환자에서의 자가 골수 줄기세포 치료술(양쪽),,,
26,26.0,11206616,목동힘찬병원,,,"자가 골수 줄기세포 치료-연골결손(동 행위를 위해 실시한 골수천자, 미세천공술 및 관절경 치료재료대 포함)",행위/기타,,,"1,000,000","1,000,000",SZ0850000,연골결손 환자에서의 자가 골수 줄기세포 치료술(한쪽),,,
27,27.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"25,000","25,000",MX1220000,재활도수 A,,,
28,28.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"50,000","50,000",MX1220000,재활도수 B,,,
29,29.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"70,000","70,000",MX1220000,재활도수 C,,,
30,30.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"95,000","95,000",MX1220000,재활도수 D,,,
31,31.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"130,000","130,000",MX1220000,재활도수 F,,,
32,32.0,11206616,목동힘찬병원,,,도수치료,행위/기타,,,"10,000","10,000",MX1220000,재활도수 계단 + Walking,,,
33,33.0,11206616,목동힘찬병원,,,체외충격파치료[근골격계질환〕,행위/기타,,,"150,000","150,000",SZ0840000,체외충격파 치료(ESWT)- SPINE,,,
34,34.0,11206616,목동힘찬병원,,,척추수술-추간판내 고주파 열치료술,행위/기타,,,"2,290,000","2,290,000",SZ0830000,추간판내 고주파 열치료술,,,
35,35.0,11206616,목동힘찬병원,,,증식치료,행위/기타,,,"110,000","110,000",MY1420000,프롤로치료(사지관절부위),,,
36,36.0,11206616,목동힘찬병원,,,증식치료,행위/기타,,,"110,000","110,000",MY1430000,프롤로치료(척추부위),,,
37,37.0,11206616,목동힘찬병원,,,척추경막외 유착방지제,치료재료,,,"700,000","700,000",BF0101VT,하이배리(HIBARRY) 1.5cc,,,
38,38.0,11206616,목동힘찬병원,,,척추경막외 유착방지제,치료재료,,,"1,200,000","1,200,000",BF0101VT,하이배리(HIBARRY) 3cc,,,
39,39.0,11206616,목동힘찬병원,,,척추경막외 유착방지제,치료재료,,,"1,300,000","1,300,000",BF0101VT,하이배리(HIBARRY) 5cc,,,
40,40.0,11206616,목동힘찬병원,,,진료기록(영상),제증명,,,"4,000","4,000",PDZ110003,3X-RAY 필름 복사(1매당),,,
41,41.0,11206616,목동힘찬병원,,,진료기록(영상),제증명,,,"10,000","10,000",PDZ110004,"Copy, CD (1장 제작)",,,
42,42.0,11206616,목동힘찬병원,,,국민연금 장애 심사용 진단서,제증명,,,"15,000","15,000",PDZ100000,국민연금 장애진단서,,,
43,43.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,국민연금 장애진단서 추가당,,,
44,44.0,11206616,목동힘찬병원,,,진단서,제증명,,,"10,000","10,000",PDZ010002,근로능력평가용 진단서,,,
45,45.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,기타치료확인서추가당,,,
46,46.0,11206616,목동힘찬병원,,,병사용진단서,제증명,,,"20,000","20,000",PDZ080000,병무용진단서,,,
47,47.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,병무용진단서추가당,,,
48,48.0,11206616,목동힘찬병원,,,사망진단서,제증명,,,"10,000","10,000",PDZ030000,사망진단서,,,
49,49.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,사망진단서1매추가당,,,
50,50.0,11206616,목동힘찬병원,,,상해진단서,제증명,,,"50,000","50,000",PDZ020001,상해진단서(3주미만),,,
51,51.0,11206616,목동힘찬병원,,,상해진단서,제증명,,,"100,000","100,000",PDZ020002,상해진단서(3주이상),,,
52,52.0,11206616,목동힘찬병원,,,진료기록사본,제증명,,,"1,000","1,000",PDZ110001,상해진단서사본,,,
53,53.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,상해진단서추가당,,,
54,54.0,11206616,목동힘찬병원,,,제증명서 사본,제증명,,,"1,000","1,000",PDZ160000,영문진단및소견서추가당,,,
55,55.0,11206616,목동힘찬병원,,,영문진단서,제증명,,,"20,000","20,000",PDE010001,영문진단서,,,
