병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
31206999,안산21세기병원,232 애니탈 삼중정-비급여(성인1일/3회/2정씩),,,,,500,0,0,650201670,,,,
31206999,안산21세기병원,액티피드정 60mg(삼일)-비급여,,,,,100,0,0,643900900,,,,
31206999,안산21세기병원,리큐어 현탁액 20g/1포(대원제약),,,,,2500,0,0,671805330,,,,
31206999,안산21세기병원,233 베아제정(대웅)-비급여/1회1정 투여,,,,,250,0,0,641601460,,,,
31206999,안산21세기병원,삐콤정(유한),,,,,100,0,0,642100700,,,,
31206999,안산21세기병원,둘코락스에스정(비급여)-베링거,,,,,1000,0,0,653501140,,,,
31206999,안산21세기병원,트레스탄캅셀-삼진,,,,,1000,0,0,647802340,,,,
31206999,안산21세기병원,트라우밀 정,,,,,1500,0,0,651300320,,,,
31206999,안산21세기병원,(원내만 가능) 실덤스카겔 15g,,,,,45000,0,0,BM5001ZD,,,,
31206999,안산21세기병원,마데카솔케어연고(동국),,,,,15000,0,0,653401640,,,,
31206999,안산21세기병원,이지에프새살연고 10g,,,,,30000,0,0,641604660,,,,
31206999,안산21세기병원,쎄레스톤지 크림15g(유한),,,,,4000,0,0,647501480,,,,
31206999,안산21세기병원,오라메디연고10 g(동국),,,,,10000,0,0,653400790,,,,
31206999,안산21세기병원,(332)spongostan 70*50*10-존슨앤존슨,,,,,80000,0,0,650800260,,,,
31206999,안산21세기병원,프록토세딜 연고15g-1회용(한독),,,,,5000,0,0,652101560,,,,
31206999,안산21세기병원,(721)옴니스캔주 15ml-MRI,,,,,100000,0,0,646300051,,,,
31206999,안산21세기병원,슈프라민주 250ml-영양제,,,,,50000,0,0,비급여,,,,
31206999,안산21세기병원,아미닉 200Ml-(한올),,,,,100000,0,0,655602770,,,,
31206999,안산21세기병원,유박스 B 프로필드주-간염예방접종,,,,,20000,0,0,668900920,,,,
31206999,안산21세기병원,하브릭스 1ml(A형간염백신),,,,,80000,0,0,650001800,,,,
31206999,안산21세기병원,노자임캡슐-비급여,,,,,1400,0,0,659900010,,,,
31206999,안산21세기병원,에티피에스주,,,,,25000,0,0,645905980,,,,
31206999,안산21세기병원,독감인플루엔자 4가 0.5ml(SK),,,,,30000,0,0,644704380,,,,
31206999,안산21세기병원,훼렉스 주사,,,,,50000,0,0,622801630,,,,
31206999,안산21세기병원,MYDERM,,,,,2100000,0,0,BST01079,,,,
31206999,안산21세기병원,조스타박스주(대상포진생바이러스백신),,,,,200000,0,0,655500900,,,,
31206999,안산21세기병원,프리베나 주13 -폐렴예방접종,,,,,150000,0,0,646500430,,,,
31206999,안산21세기병원,Neo Dermal Activator-백암,,,,,35000,0,0,BM5002RQ,,,,
31206999,안산21세기병원,말린다주(히알루로니다제),,,,,50000,0,0,653102550,,,,
31206999,안산21세기병원,(112)덱스메딘주 2ml,,,,,65000,0,0,657805981,,,,
31206999,안산21세기병원,Cd Copy,,,,,10000,0,0,,,,,
31206999,안산21세기병원,체외충격파(양측),이학요법료,,,,80000,0,0,SZ084,,양측,,
31206999,안산21세기병원,장해진단서,,,,,100000,0,0,,,,,
31206999,안산21세기병원,병무용진단서,,,,,20000,0,0,,,,,
31206999,안산21세기병원,병무용진단서-사본,,,,,1000,0,0,,,,,
31206999,안산21세기병원,상해진단서3주미만,,,,,50000,0,100000,,,,,
31206999,안산21세기병원,상해진단서3주이상,,,,,100000,0,150000,,,,,
31206999,안산21세기병원,"소견조회 등 회신-자보,산재",,,,,10000,0,0,,,,,
31206999,안산21세기병원,진료기록부 사본 6매이상(1장당),,,,,100,0,0,,,,,
31206999,안산21세기병원,상해진단서-사본,,,,,1000,0,0,,,,,
31206999,안산21세기병원,진료확인서-수술확인서,,,,,3000,0,3000,,,,,
31206999,안산21세기병원,장애진단서,,,,,15000,0,0,,,,,
31206999,안산21세기병원,장애진단서-동사무소 청구용,,,,,15000,0,0,,,,,
31206999,안산21세기병원,입원확인서,,,,,1000,0,0,,,,,
