,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
1,연세건우병원,,,,,,,,,,오전,,,
2,연세건우병원,,,,,,,,,,오후,,,
3,연세건우병원,,,,,,,,,,오전,,,
4,연세건우병원,,,,,,,,,,오후,,,
5,연세건우병원,,,,,,,,,,오전,,,
6,연세건우병원,,,,,,,,,,오후,,,
7,연세건우병원,,,,,,,,,,오전,,,
8,연세건우병원,,,,,,,,,,오후,,,
9,연세건우병원,,,,,,,,,,오전,,,
10,연세건우병원,,,,,,,,,,오후,,,
11,연세건우병원,,,,,,,,,,오전,,,
12,연세건우병원,,,,,,,,,,오후,,,
13,연세건우병원,,,,,,,,,,오전,,,
14,연세건우병원,,,,,,,,,,오후,,,
15,연세건우병원,,,,,,,,,,오전,,,
16,연세건우병원,,,,,,,,,,오후,,,
17,연세건우병원,,,,,,,,,,오전,,,
18,연세건우병원,,,,,,,,,,오후,,,
19,연세건우병원,,,,,,,,,,환자가 사망한 경우,직계친족만 가능,,
20,연세건우병원,,,,,,,,,,"환자가 의식불명 또는 의식불명은 아니지만 중증의 질환, 부상으로 자필서명을 할 수 없는 경우",직계친족만 가능,,
21,연세건우병원,,,,,,,,,,환자가 행방불명인 경우,직계친족만 가능,,
22,연세건우병원,,,,,,,,,,환자가 의사무능력자인 경우,직계친족만 가능,,
23,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
24,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
25,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
26,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
27,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
28,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
29,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
30,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
31,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
32,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
33,바른세상병원,,,,,,,,,,,마감시간 30분 전까지 접수해주세요,,
34,바른세상병원,,,,,,,,,,,"연장치료내용도수치료, ESWT",,
35,바른세상병원,,,,,,,,,,,-,,
36,바른세상병원,,,,,,,,,,,-,,
37,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,"24,000","24,000",,,,○,○
38,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,"80,000","80,000",,,,Χ,○
39,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,"1,000,000","1,000,000",,,,○,○
40,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,"70,000","70,000",,,,○,○
41,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,"50,000","80,000",,,,○,○
42,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,"24,000","24,000",,,,○,○
43,의료법인나누리의료재단나누리병원,MRI (HIP+S-I joint 추가),,,자기공명영상촬영(MRI),,,"250,000",,,,,○,○
44,의료법인나누리의료재단나누리병원,NEUROCHECK (족부수분검사),,,기타검사,,,"70,000",,,,,○,○
45,의료법인나누리의료재단나누리병원,허혈성 변형 알부민 검사,,,기타검사,,,"40,000",,,,,○,○
46,의료법인나누리의료재단나누리병원,Upper Extremity MRI,,,자기공명영상촬영(MRI),,,"490,000",,,,,Χ,Χ
47,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,"80,000","80,000",,,,Χ,○
48,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,"1,000,000","1,000,000",,,,○,○
49,의료법인나누리의료재단나누리병원,Safety needle holder & adflex-si,,,처치재료대,,,"2,500",,,,혈액체취시 사용,○,○
50,의료법인나누리의료재단나누리병원,멸균생리식염주사액10ml 시린지,,,처치재료대,,,"1,100","1,100",,,,○,○
51,의료법인나누리의료재단나누리병원,생리식염주사액10ml 시린지 (대한),,,처치재료대,,,"1,100","1,100",,,,○,○
52,의료법인나누리의료재단나누리병원,필름 COPY(by DVD),,,필름 COPY/장당,,,"20,000","20,000",,,,Χ,○
53,의료법인나누리의료재단나누리병원,근로능력 평가용 진단서,,,진단서,,,"10,000",,,,,Χ,Χ
54,의료법인나누리의료재단나누리병원,통원 및 진료 확인서 (원본),,,증명료,,,"3,000",,,,장당,Χ,Χ
55,의료법인나누리의료재단나누리병원,영문진단서(원본),,,증명료,,,"20,000",,,,장당,Χ,Χ
56,의료법인나누리의료재단나누리병원,장기요양의사소견발급비용,,,증명료,,,"37,590","37,590",,,장당,Χ,Χ
57,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,"70,000","70,000",,,,○,○
58,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,"50,000","80,000",,,,○,○
59,의료법인나누리의료재단나누리병원,하브릭스주(A형간염 예방백신),,,약제,,,"70,000",,,,,○,○
60,의료법인나누리의료재단나누리병원,페린젝트주10ml/V,,,약제,,,"250,000",,,,,○,○
61,의료법인나누리의료재단나누리병원,세로나민주,,,약제,,,"35,000",,,,,○,○
62,의료법인나누리의료재단나누리병원,보호자치료식,,,식대,,,"8,000",,,,1끼,Χ,Χ
63,의료법인나누리의료재단나누리병원,공기밥 추가,,,식대,,,"1,000",,,,1EA,Χ,Χ
64,의료법인나누리의료재단나누리병원,보호자일반식,,,식대,,,"7,000",,,,1끼,Χ,Χ
65,의료법인나누리의료재단나누리병원,실료차액 1인실,,,병실차액,,,"150,000",,,,1일,Χ,Χ
