,병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,중복컬럼_2,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,11205008,연세사랑병원,병실료차액,상급병실료차액,,,,,"190,000",,,AB9000,1인실,,,
1,11206551,연세건우병원,FLOSEAL,투약 및 주사료,,,,,"₩800,000",,,646601401,,,,
2,11206551,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,,"₩16,606",,,657805301,,무통주사 약제,,
3,11206551,연세건우병원,로우칼정,투약 및 주사료,,,,,₩161,,,649500530,,,,
4,11206551,연세건우병원,로우칼캡슐,투약 및 주사료,,,,,₩161,,,649500540,,,,
5,11206551,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,,"₩8,000",,,653401640,,,,
6,11206551,연세건우병원,말린다주,투약 및 주사료,,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
7,11206551,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,,"₩70,000",,,645101360,,,,
8,11206551,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,,"₩35,000",,,654802250,,비타민D제,,
9,11206551,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,,"₩150,000~160,500",,,647801080,,,,
10,11206551,연세건우병원,아미노헥스주,투약 및 주사료,,,,,"₩35,000",,,645103490,,,,
11,31208665,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,,"24,000","24,000",,,,○,○
12,31208665,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,,"80,000","80,000",,,,Χ,○
13,31208665,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,,"1,000,000","1,000,000",,,,○,○
14,31208665,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,,"70,000","70,000",,,,○,○
15,31208665,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,,"50,000","80,000",,,,○,○
16,31206484,나누리수원병원,이베니티주 프리필드시린지,,,약제,,,,"700,000",,052300111,,2020.03.02.,○,○
17,31206484,나누리수원병원,C-IDET 1Level+LDISQ-Cervical,,,수술,,,,"2,500,000",,SZ083,,재료+행위료 포함,○,○
18,31206484,나누리수원병원,FIMS(CT Guide)-기타+보톡스주,,,이학요법료,,,,"380,000",,MZ001,,,○,Χ
19,31206484,나누리수원병원,박티그라거즈15*20㎠(창상보호제),,,처치재료대,,,,"7,000",,681800070,,2020.1.21.,Χ,Χ
20,31206484,나누리수원병원,페린젝트주10ml(500mg),,,약제,,,,"250,000",,644913140,,2020.1.15.,○,Χ
21,31206999,안산21세기병원,232 애니탈 삼중정-비급여(성인1일/3회/2정씩),,,,,,500,0,0,650201670,,,,
22,31206999,안산21세기병원,액티피드정 60mg(삼일)-비급여,,,,,,100,0,0,643900900,,,,
23,31206999,안산21세기병원,리큐어 현탁액 20g/1포(대원제약),,,,,,2500,0,0,671805330,,,,
24,31206999,안산21세기병원,233 베아제정(대웅)-비급여/1회1정 투여,,,,,,250,0,0,641601460,,,,
25,31206999,안산21세기병원,삐콤정(유한),,,,,,100,0,0,642100700,,,,
26,31206999,안산21세기병원,둘코락스에스정(비급여)-베링거,,,,,,1000,0,0,653501140,,,,
27,31206999,안산21세기병원,트레스탄캅셀-삼진,,,,,,1000,0,0,647802340,,,,
28,31206999,안산21세기병원,트라우밀 정,,,,,,1500,0,0,651300320,,,,
29,31206999,안산21세기병원,(원내만 가능) 실덤스카겔 15g,,,,,,45000,0,0,BM5001ZD,,,,
30,31206999,안산21세기병원,마데카솔케어연고(동국),,,,,,15000,0,0,653401640,,,,
31,31206999,안산21세기병원,이지에프새살연고 10g,,,,,,30000,0,0,641604660,,,,
32,31206999,안산21세기병원,쎄레스톤지 크림15g(유한),,,,,,4000,0,0,647501480,,,,
33,31206999,안산21세기병원,오라메디연고10 g(동국),,,,,,10000,0,0,653400790,,,,
34,31206999,안산21세기병원,(332)spongostan 70*50*10-존슨앤존슨,,,,,,80000,0,0,650800260,,,,
35,31206999,안산21세기병원,프록토세딜 연고15g-1회용(한독),,,,,,5000,0,0,652101560,,,,
36,31206999,안산21세기병원,(721)옴니스캔주 15ml-MRI,,,,,,100000,0,0,646300051,,,,
37,31206999,안산21세기병원,슈프라민주 250ml-영양제,,,,,,50000,0,0,비급여,,,,
38,31206999,안산21세기병원,아미닉 200Ml-(한올),,,,,,100000,0,0,655602770,,,,
39,31206999,안산21세기병원,유박스 B 프로필드주-간염예방접종,,,,,,20000,0,0,668900920,,,,
40,31206999,안산21세기병원,하브릭스 1ml(A형간염백신),,,,,,80000,0,0,650001800,,,,
41,31206999,안산21세기병원,노자임캡슐-비급여,,,,,,1400,0,0,659900010,,,,
42,31206999,안산21세기병원,에티피에스주,,,,,,25000,0,0,645905980,,,,
43,31206999,안산21세기병원,독감인플루엔자 4가 0.5ml(SK),,,,,,30000,0,0,644704380,,,,
44,31206999,안산21세기병원,훼렉스 주사,,,,,,50000,0,0,622801630,,,,
45,31206999,안산21세기병원,MYDERM,,,,,,2100000,0,0,BST01079,,,,
46,31206999,안산21세기병원,조스타박스주(대상포진생바이러스백신),,,,,,200000,0,0,655500900,,,,
47,31206999,안산21세기병원,프리베나 주13 -폐렴예방접종,,,,,,150000,0,0,646500430,,,,
48,31206999,안산21세기병원,Neo Dermal Activator-백암,,,,,,35000,0,0,BM5002RQ,,,,
49,31206999,안산21세기병원,말린다주(히알루로니다제),,,,,,50000,0,0,653102550,,,,
50,31206999,안산21세기병원,(112)덱스메딘주 2ml,,,,,,65000,0,0,657805981,,,,
51,31206999,안산21세기병원,Cd Copy,,,,,,10000,0,0,,,,,
52,31206999,안산21세기병원,체외충격파(양측),이학요법료,,,,,80000,0,0,SZ084,,양측,,
53,31206999,안산21세기병원,장해진단서,,,,,,100000,0,0,,,,,
54,31206999,안산21세기병원,병무용진단서,,,,,,20000,0,0,,,,,
55,31206999,안산21세기병원,병무용진단서-사본,,,,,,1000,0,0,,,,,
56,31206999,안산21세기병원,상해진단서3주미만,,,,,,50000,0,100000,,,,,
57,31206999,안산21세기병원,상해진단서3주이상,,,,,,100000,0,150000,,,,,
58,31206999,안산21세기병원,"소견조회 등 회신-자보,산재",,,,,,10000,0,0,,,,,
59,31206999,안산21세기병원,진료기록부 사본 6매이상(1장당),,,,,,100,0,0,,,,,
60,31206999,안산21세기병원,상해진단서-사본,,,,,,1000,0,0,,,,,
61,31206999,안산21세기병원,진료확인서-수술확인서,,,,,,3000,0,3000,,,,,
62,31206999,안산21세기병원,장애진단서,,,,,,15000,0,0,,,,,
63,31206999,안산21세기병원,장애진단서-동사무소 청구용,,,,,,15000,0,0,,,,,
64,31206999,안산21세기병원,입원확인서,,,,,,1000,0,0,,,,,
65,31206999,안산21세기병원,향후치료비추정서1000만원이상,,,,,,100000,0,0,,,,,
66,31206999,안산21세기병원,향후치료비추정서1000만원미만,,,,,,50000,0,0,,,,,
67,31206999,안산21세기병원,보험사서식소견서,,,,,,10000,0,0,,,,,
