,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,연세본사랑병원(舊.연세사랑병원),1인실병실료,,,,AB9000,2019.07.01 부로 변경,,,N,,,"180,000",
1,연세본사랑병원(舊.연세사랑병원),1인실병실료,,,,AB9000,상급병실료차액,,,N,,,2019.07.01 부로 변경,
2,연세본사랑병원(舊.연세사랑병원),2인실병실료차액,,,,AB9000,2019.07.01 급여로 전환,,,N,,,--,
3,연세본사랑병원(舊.연세사랑병원),2인실병실료차액,,,,AB9000,상급병실료차액,,,N,,,2019.07.01 급여로 전환,
4,연세본사랑병원(舊.연세사랑병원),3인실병실료차액,,,,AB9000,2019.07.01 급여로 전환,,,N,,,--,
5,연세본사랑병원(舊.연세사랑병원),3인실병실료차액,,,,AB9000,상급병실료차액,,,N,,,2019.07.01 급여로 전환,
6,연세본사랑병원(舊.연세사랑병원),"진단서(일반,질병)",,,,,의료법시행규칙제9조[서식5의2]/2017.09.21 적용,,,N,,,"20,000",
7,연세본사랑병원(舊.연세사랑병원),"진단서(일반,질병)",,,,,제증명수수료,,,N,,,의료법시행규칙제9조[서식5의2]/2017.09.21 적용,
8,연세본사랑병원(舊.연세사랑병원),진단서(일반.질병)-추가 사본,,,,,,,,N,,,"1,000",
9,연세본사랑병원(舊.연세사랑병원),진단서(일반.질병)-추가 사본,,,,,제증명수수료,,,N,,,,
10,연세본사랑병원(舊.연세사랑병원),진단서(일반.질병)-영문,,,,,,,,N,,,"20,000",
11,연세본사랑병원(舊.연세사랑병원),진단서(일반.질병)-영문,,,,,제증명수수료,,,N,,,,
12,연세본사랑병원(舊.연세사랑병원),입 퇴원확인서,,,,,2017.09.21 적용,,,N,,,"3,000",
13,연세본사랑병원(舊.연세사랑병원),입 퇴원확인서,,,,,제증명수수료,,,N,,,2017.09.21 적용,
14,연세본사랑병원(舊.연세사랑병원),수술확인서,,,,,,,,N,,,"3,000",
15,연세본사랑병원(舊.연세사랑병원),수술확인서,,,,,제증명수수료,,,N,,,,
16,연세본사랑병원(舊.연세사랑병원),수술확인서-추가 사본,,,,,,,,N,,,"1,000",
17,연세본사랑병원(舊.연세사랑병원),수술확인서-추가 사본,,,,,제증명수수료,,,N,,,,
18,연세본사랑병원(舊.연세사랑병원),장애 진단서(신체장애),,,,,,,,N,,,"15,000",
19,연세본사랑병원(舊.연세사랑병원),장애 진단서(신체장애),,,,,제증명수수료,,,N,,,,
20,연세본사랑병원(舊.연세사랑병원),장애 진단서(동사무소),,,,,,,,N,,,"15,000",N
21,연세본사랑병원(舊.연세사랑병원),장애 진단서(동사무소),,,,,제증명수수료,,,N,,,,N
22,연세본사랑병원(舊.연세사랑병원),장애 진단서 추가 사본,,,,,,,,N,,,"1,000",
23,연세본사랑병원(舊.연세사랑병원),장애 진단서 추가 사본,,,,,제증명수수료,,,N,,,,
24,연세본사랑병원(舊.연세사랑병원),후유장애진단서,,,,,,,,N,,,"100,000",
25,연세본사랑병원(舊.연세사랑병원),후유장애진단서,,,,,제증명수수료,,,N,,,,
26,연세본사랑병원(舊.연세사랑병원),병무용진단서,,,,,"병역법시행규칙제87조,95조[서식106]",,,N,,,"20,000",
27,연세본사랑병원(舊.연세사랑병원),병무용진단서,,,,,제증명수수료,,,N,,,"병역법시행규칙제87조,95조[서식106]",
28,연세본사랑병원(舊.연세사랑병원),병무용진단서 추가 사본,,,,,,,,N,,,"1,000",
29,연세본사랑병원(舊.연세사랑병원),병무용진단서 추가 사본,,,,,제증명수수료,,,N,,,,
30,연세본사랑병원(舊.연세사랑병원),상해진단서(3주 미만),,,,,의료법시행규칙제9조[서식5의3],,,N,,,"100,000",
31,연세본사랑병원(舊.연세사랑병원),상해진단서(3주 미만),,,,,제증명수수료,,,N,,,의료법시행규칙제9조[서식5의3],
32,연세본사랑병원(舊.연세사랑병원),상해진단서(3주이상),,,,,의료법시행규칙제9조[서식5의3],,,N,,,"150,000",
33,연세본사랑병원(舊.연세사랑병원),상해진단서(3주이상),,,,,제증명수수료,,,N,,,의료법시행규칙제9조[서식5의3],
34,연세본사랑병원(舊.연세사랑병원),상해진단서 추가 사본,,,,,의료법시행규칙제9조[서식5의3],,,N,,,"10,000",
35,연세본사랑병원(舊.연세사랑병원),상해진단서 추가 사본,,,,,제증명수수료,,,N,,,의료법시행규칙제9조[서식5의3],
36,연세본사랑병원(舊.연세사랑병원),향후치료비추정서(천만원 미만),,,,,,,,N,,,"50,000",
37,연세본사랑병원(舊.연세사랑병원),향후치료비추정서(천만원 미만),,,,,제증명수수료,,,N,,,,
38,연세본사랑병원(舊.연세사랑병원),향후치료비추정서(천만원이상),,,,,,,,N,,,"100,000",
39,연세본사랑병원(舊.연세사랑병원),향후치료비추정서(천만원이상),,,,,제증명수수료,,,N,,,,
40,연세본사랑병원(舊.연세사랑병원),CD COPY/장당,,,,,,,,N,,,"10,000",
41,연세본사랑병원(舊.연세사랑병원),CD COPY/장당,,,,,제증명수수료,,,N,,,,
42,연세본사랑병원(舊.연세사랑병원),통원치료 확인서,,,,,2017.09.21 적용,,,N,,,"3,000",
