,Unnamed: 0,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,0,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
1,1,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
2,2,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
3,3,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
4,4,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
5,5,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
6,6,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
7,7,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
8,8,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
9,9,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
10,10,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
11,11,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,"24,000","24,000",,,,○,○
12,12,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,"80,000","80,000",,,,Χ,○
13,13,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,"1,000,000","1,000,000",,,,○,○
14,14,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,"70,000","70,000",,,,○,○
15,15,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,"50,000","80,000",,,,○,○
16,16,나누리수원병원,이베니티주 프리필드시린지,,,약제,,,"700,000",,052300111,,2020.03.02.,○,○
17,17,나누리수원병원,C-IDET 1Level+LDISQ-Cervical,,,수술,,,"2,500,000",,SZ083,,재료+행위료 포함,○,○
18,18,나누리수원병원,FIMS(CT Guide)-기타+보톡스주,,,이학요법료,,,"380,000",,MZ001,,,○,Χ
19,19,나누리수원병원,박티그라거즈15*20㎠(창상보호제),,,처치재료대,,,"7,000",,681800070,,2020.1.21.,Χ,Χ
20,20,나누리수원병원,페린젝트주10ml(500mg),,,약제,,,"250,000",,644913140,,2020.1.15.,○,Χ
21,21,안산21세기병원,232 애니탈 삼중정-비급여(성인1일/3회/2정씩),,,,,500,0,0,650201670,,,,
22,22,안산21세기병원,액티피드정 60mg(삼일)-비급여,,,,,100,0,0,643900900,,,,
23,23,안산21세기병원,리큐어 현탁액 20g/1포(대원제약),,,,,2500,0,0,671805330,,,,
24,24,안산21세기병원,233 베아제정(대웅)-비급여/1회1정 투여,,,,,250,0,0,641601460,,,,
25,25,안산21세기병원,삐콤정(유한),,,,,100,0,0,642100700,,,,
26,26,안산21세기병원,둘코락스에스정(비급여)-베링거,,,,,1000,0,0,653501140,,,,
27,27,안산21세기병원,트레스탄캅셀-삼진,,,,,1000,0,0,647802340,,,,
28,28,안산21세기병원,트라우밀 정,,,,,1500,0,0,651300320,,,,
29,29,안산21세기병원,(원내만 가능) 실덤스카겔 15g,,,,,45000,0,0,BM5001ZD,,,,
30,30,안산21세기병원,마데카솔케어연고(동국),,,,,15000,0,0,653401640,,,,
31,31,안산21세기병원,이지에프새살연고 10g,,,,,30000,0,0,641604660,,,,
32,32,안산21세기병원,쎄레스톤지 크림15g(유한),,,,,4000,0,0,647501480,,,,
33,33,안산21세기병원,오라메디연고10 g(동국),,,,,10000,0,0,653400790,,,,
34,34,안산21세기병원,(332)spongostan 70*50*10-존슨앤존슨,,,,,80000,0,0,650800260,,,,
35,35,안산21세기병원,프록토세딜 연고15g-1회용(한독),,,,,5000,0,0,652101560,,,,
36,36,안산21세기병원,(721)옴니스캔주 15ml-MRI,,,,,100000,0,0,646300051,,,,
37,37,안산21세기병원,슈프라민주 250ml-영양제,,,,,50000,0,0,비급여,,,,
38,38,안산21세기병원,아미닉 200Ml-(한올),,,,,100000,0,0,655602770,,,,
39,39,안산21세기병원,유박스 B 프로필드주-간염예방접종,,,,,20000,0,0,668900920,,,,
40,40,안산21세기병원,하브릭스 1ml(A형간염백신),,,,,80000,0,0,650001800,,,,
41,41,안산21세기병원,노자임캡슐-비급여,,,,,1400,0,0,659900010,,,,
42,42,안산21세기병원,에티피에스주,,,,,25000,0,0,645905980,,,,
43,43,안산21세기병원,독감인플루엔자 4가 0.5ml(SK),,,,,30000,0,0,644704380,,,,
44,44,안산21세기병원,훼렉스 주사,,,,,50000,0,0,622801630,,,,
45,45,안산21세기병원,MYDERM,,,,,2100000,0,0,BST01079,,,,
46,46,안산21세기병원,조스타박스주(대상포진생바이러스백신),,,,,200000,0,0,655500900,,,,
47,47,안산21세기병원,프리베나 주13 -폐렴예방접종,,,,,150000,0,0,646500430,,,,
48,48,안산21세기병원,Neo Dermal Activator-백암,,,,,35000,0,0,BM5002RQ,,,,
49,49,안산21세기병원,말린다주(히알루로니다제),,,,,50000,0,0,653102550,,,,
50,50,안산21세기병원,(112)덱스메딘주 2ml,,,,,65000,0,0,657805981,,,,
51,51,안산21세기병원,Cd Copy,,,,,10000,0,0,,,,,
52,52,안산21세기병원,체외충격파(양측),이학요법료,,,,80000,0,0,SZ084,,양측,,
53,53,안산21세기병원,장해진단서,,,,,100000,0,0,,,,,
54,54,안산21세기병원,병무용진단서,,,,,20000,0,0,,,,,
55,55,안산21세기병원,병무용진단서-사본,,,,,1000,0,0,,,,,
56,56,안산21세기병원,상해진단서3주미만,,,,,50000,0,100000,,,,,
57,57,안산21세기병원,상해진단서3주이상,,,,,100000,0,150000,,,,,
58,58,안산21세기병원,"소견조회 등 회신-자보,산재",,,,,10000,0,0,,,,,
59,59,안산21세기병원,진료기록부 사본 6매이상(1장당),,,,,100,0,0,,,,,
60,60,안산21세기병원,상해진단서-사본,,,,,1000,0,0,,,,,
61,61,안산21세기병원,진료확인서-수술확인서,,,,,3000,0,3000,,,,,
62,62,안산21세기병원,장애진단서,,,,,15000,0,0,,,,,
63,63,안산21세기병원,장애진단서-동사무소 청구용,,,,,15000,0,0,,,,,
64,64,안산21세기병원,입원확인서,,,,,1000,0,0,,,,,
65,65,안산21세기병원,향후치료비추정서1000만원이상,,,,,100000,0,0,,,,,
66,66,안산21세기병원,향후치료비추정서1000만원미만,,,,,50000,0,0,,,,,
67,67,안산21세기병원,보험사서식소견서,,,,,10000,0,0,,,,,
68,68,안산21세기병원,국민연금장애심사용 진단서,,,,,10000,0,15000,,,,,
69,69,안산21세기병원,통원확인서,,,,,1000,0,3000,,,,,
70,70,안산21세기병원,"입,퇴원확인서-사본",,,,,1000,0,0,,,,,
71,71,안산21세기병원,진료확인서,,,,,1000,0,0,,,,,
72,72,안산21세기병원,진료비상세내역 요청-보험회사(10장),,,,,10000,0,0,,,,,
73,73,안산21세기병원,진료비상세내역 요청-보험회사 10장이후 장당,,,,,1000,0,0,,,,,
74,74,안산21세기병원,소견조회 등 회신,,,,,10000,0,0,,,,,
75,75,안산21세기병원,수술확인서(사본),,,,,1000,0,0,,,,,
76,76,안산21세기병원,후유장애진단서,,,,,100000,0,0,,,,,
77,77,안산21세기병원,후유장애진단서-사본,,,,,1000,0,0,,,,,
78,78,안산21세기병원,근로능력평가용진단서,,,,,10000,0,0,,,,,
79,79,안산21세기병원,일반진단서(부본),,,,,1000,0,0,,,,,
80,80,안산21세기병원,일반진단서,,,,,10000,0,20000,,,,,
81,81,안산21세기병원,PRODISC-L-SM,,,,,7500000,0,0,BF0005AT,,,,
82,82,안산21세기병원,진료기록부 사본 1-5매(1장당),,,,,1000,0,0,,,,,
83,83,안산21세기병원,영문 소견서,,,,,20000,0,0,,,,,
84,84,안산21세기병원,영문진단서,,,,,20000,0,0,,,,,
85,85,안산21세기병원,영문진단서-사본,,,,,1000,0,0,,,,,
86,86,안산21세기병원,장해진단서 부본,,,,,50000,0,0,,,,,
87,87,안산21세기병원,진료확인서(부본)-보험회사제출용,,,,,1000,0,0,,,,,
88,88,안산21세기병원,"일반진단서(보험사서식,장애진단표기시)",,,,,50000,0,0,,,,,
89,89,안산21세기병원,일반구급차 기본요금 -10km이내,,,,,30000,0,0,,,,,
90,90,안산21세기병원,일반구급차 기본요금 -10km초과 1km당 추가,,,,,1000,0,0,,,,,
91,91,안산21세기병원,Discocerv-SM(최대2 level 인정),,,,,5500000,0,0,BF0001DB,,,,
92,92,안산21세기병원,Loop Fixing-SM,,,,,1320000,0,0,BF0001IA,,,,
93,93,안산21세기병원,PRODISC-C -SM(최대2 level 인정),,,,,5500000,0,0,BF0004AT,,,,
94,94,안산21세기병원,Baguera- C -GS,,,,,5500000,0,0,BF0003GZ,,,,
95,95,안산21세기병원,Prolotheraphy(P)-사지관절,,,,,100000,0,0,MY142,,,,
96,96,안산21세기병원,Xgen Graft 1cc-H-one,,,,,650000,0,0,BC0105ED,,,,
97,97,안산21세기병원,Xgen Graft 3cc -H-one,,,,,1400000,0,0,BC0105ED,,,,
98,98,안산21세기병원,플로실-DS 메드텍,,,,,750000,0,0,646601400,,,,
99,99,안산21세기병원,Intraspine-SM,,,,,3800000,0,0,BF0401WQ,,,,
100,100,안산21세기병원,BMAC 2-미라,,,,,3000000,0,0,BL6051UM,,,,
101,101,안산21세기병원,Hylofast- 미라,,,,,2000000,0,0,BL6052UM,,,,
102,102,안산21세기병원,도수운동치료(2부위),이학요법료,,,,70000,0,0,MX122,,,,
103,103,안산21세기병원,전기수술기용 전극KJ400.KJ401.KJ402.KJ403-SM,,,,,1600000,0,0,BF0201OB,,,,
104,104,안산21세기병원,Osteosparx C 3cc (DBM)-태산,,,,,1500000,0,0,BC0103IE,,,,
105,105,안산21세기병원,Bio Eden Peek Cage III-한시적,,,,,400000,0,0,한시적,,,,
106,106,안산21세기병원,Hibarry-유착방지제,,,,,900000,0,0,BF0101VT,,,,
107,107,안산21세기병원,Eden Fuse DBM 3cc-케이텍,,,,,1500000,0,0,BC0107ED,,,,
108,108,안산21세기병원,Needleview CH-SM,,,,,2800000,0,0,BJ4803XU,,,,
109,109,안산21세기병원,Dermabond,창상보합용액상접착제,,,,120000,0,0,BB3004EE,,,,
110,110,안산21세기병원,젠타큐(GENTA Q),,,,,550000,0,0,BM5302VT,,,,
111,111,안산21세기병원,Demios 2.5cc- DBM,,,,,1500000,0,0,BC0101KJ,,,,
112,112,안산21세기병원,Pd-An(KJ401)-SM,,,,,1600000,0,0,BF0201OB,,,,
113,113,안산21세기병원,Eden Spinal Fixation System II Rod,,,,,150000,0,0,한시적,,,,
114,114,안산21세기병원,Bio BMP2 1cc-심플메드,,,,,1600000,0,0,BC0301BU,,,,
115,115,안산21세기병원,Osteosparx C 1cc (DBM)-태산,,,,,700000,0,0,BC0103IE,,,,
116,116,안산21세기병원,환의(상하),,,,,16500,0,0,비급여,,,,
117,117,안산21세기병원,Diced Mega Fill - ES,,,,,200000,0,0,BTT01022,,,,
118,118,안산21세기병원,Demios 1cc- DBM,,,,,700000,0,0,BC0101KJ,,,,
119,119,안산21세기병원,Cartifill - 연골조직수복용(이건메디칼),,,,,2500000,0,0,BM2621RA,,,,
120,120,안산21세기병원,INION S-1 Plate(새움메디텍),,,,,1100000,0,0,BF0701BP,,,,
121,121,안산21세기병원,Eden Spinal Fixation System II Screw,,,,,500000,0,0,한시적,,,,
122,122,안산21세기병원,Dermabond PRINEO,창상보합용액상접착제,,,,250000,0,0,BB3006EE,,,,
123,123,안산21세기병원,INION S-1 Screw(새움메디텍),,,,,600000,0,0,BF0801BP,,,,
124,124,안산21세기병원,Sure Fuse DBM 3cc,,,,,1500000,0,0,BC0103ED,,,,
125,125,안산21세기병원,Allocover Had-나노테크,,,,,2100000,0,0,BTS01114,,,,
126,126,안산21세기병원,Spinaut-SM,,,,,600000,0,0,BJ4801UN,,,,
127,127,안산21세기병원,Navicath Steerable Catheter,,,,,700000,0,0,BJ4801ZO,,,,
128,128,안산21세기병원,Fora-B-H-one,,,,,1400000,0,0,BJ4805RA,,,,
129,129,안산21세기병원,Cervical-St .Cox -SM,,,,,600000,0,0,BJ4802RA,,,,
130,130,안산21세기병원,소변기(남성용),,,,,5000,0,0,비급여,,,,
131,131,안산21세기병원,대변기(PVC),,,,,5000,0,0,비급여,,,,
132,132,안산21세기병원,Zetuvit E (15*20),,,,,8500,0,0,BM5003JK,,,,
133,133,안산21세기병원,Secuex,,,,,1500,0,0,BM5001GA,,,,
134,134,안산21세기병원,소프트칼라(Soft Collar),,,,,15000,0,0,20242,,,,
135,135,안산21세기병원,팔걸이(소아),,,,,3000,0,0,비급여,,,,
136,136,안산21세기병원,팔걸이(성인),,,,,5000,0,0,VM061,,,,
137,137,안산21세기병원,팔자 붕대 -보조기,,,,,20000,0,0,VM062,,,,
138,138,안산21세기병원,벨포밴드,,,,,35000,0,0,VM061,,,,
139,139,안산21세기병원,케어픽스-S,,,,,150000,0,0,BC1201NR,,,,
140,140,안산21세기병원,hot pack(대)-환자 갖고 감,,,,,25000,0,0,비급여,,,,
141,141,안산21세기병원,Ice Bag -환자 갖고 감,,,,,30000,0,0,비급여,,,,
142,142,안산21세기병원,filter syringe -심플메드,,,,,1000,0,0,BM1304VH,,,,
143,143,안산21세기병원,LMA Supreme -마취과,,,,,100000,0,0,BK4201QL,,,,
144,144,안산21세기병원,CEB ldeal Bandage(10cm*5m),,,,,50000,0,0,BK7101IK,,,,
145,145,안산21세기병원,New Opsite post -op 10*20cm,,,,,7500,0,0,BM5013CD,,,,
146,146,안산21세기병원,New Opsite post -op 10*25cm,,,,,7500,0,0,BM5013CD,,,,
147,147,안산21세기병원,New Opsite post -op 5*6.5cm,,,,,2500,0,0,BM5013CD,,,,
148,148,안산21세기병원,New Opsite post -op 8.5*9.5cm,,,,,4500,0,0,BM5013CD,,,,
149,149,안산21세기병원,New Opsite post -op 8.5*15.5cm,,,,,7500,0,0,BM5013CD,,,,
150,150,안산21세기병원,SUPERPORE (5*7),,,,,1000,0,0,BM5007BL,,,,
151,151,안산21세기병원,SUPERPORE (6*9),,,,,3000,0,0,BM5001BL,,,,
152,152,안산21세기병원,SUPERPORE (9*12),,,,,3500,0,0,BM5003BL,,,,
153,153,안산21세기병원,SUPERPORE (9*15),,,,,4000,0,0,BM5004BL,,,,
154,154,안산21세기병원,SUPERPORE(9*20),,,,,5000,0,0,BM5005BL,,,,
155,155,안산21세기병원,SUPERPORE(9*25),,,,,6000,0,0,BM5006BL,,,,
156,156,안산21세기병원,SUPERPORE (9*30),,,,,8000,0,0,BM5008BL,,,,
157,157,안산21세기병원,SUPERPORE (9*35),,,,,9000,0,0,BM5009BL,,,,
158,158,안산21세기병원,SUPERPORE (9*9),,,,,3000,0,0,BM5002BL,,,,
159,159,안산21세기병원,체내형범용 프로브,,,,,100000,0,0,BL9001BY,,,,
160,160,안산21세기병원,Dressing Kit,,,,,2000,0,0,BM5101WI,,,,
161,161,안산21세기병원,NAFIX PLUS IV,,,,,6000,0,0,BJ1002PL,,,,
162,162,안산21세기병원,NAFIX Foly Guard(전규격),,,,,10000,0,0,BJ1004PL,,,,
163,163,안산21세기병원,Colar Cast Shoes,,,,,12000,0,0,VM070,,,,
164,164,안산21세기병원,Setect Pad (10*10),,,,,8000,0,0,BM5026HF,,,,
165,165,안산21세기병원,Setect Pad (10*20),,,,,12000,0,0,BM5026HF,,,,
166,166,안산21세기병원,Smart H.C band(compression band),,,,,200000,0,0,BK7101WS,,,,
167,167,안산21세기병원,3M SOFT CLOTH TAPE(10*10),,,,,3000,0,0,BM5101LX,,,,
168,168,안산21세기병원,3M SOFT CLOTH TAPE (15*10),,,,,6000,0,0,BM5101LX,,,,
169,169,안산21세기병원,Silicone tape(E-tube 고정용),,,,,25000,0,0,BM2001LG,,,,
170,170,안산21세기병원,wrist brace,,,,,30000,0,0,BC1211UZ,,,,
171,171,안산21세기병원,Thumb+ wrist Brace,,,,,50000,0,0,BC1208RE,,,,
172,172,안산21세기병원,Thumb Brace,,,,,40000,0,0,BC1213UZ,,,,
173,173,안산21세기병원,EZ Rap Brace,,,,,100000,0,0,BC1215HT,,,,
174,174,안산21세기병원,knee brace,,,,,50000,0,0,보조기,,,,
175,175,안산21세기병원,knee MCL brace,,,,,200000,0,0,BC1002SI,,,,
176,176,안산21세기병원,immobilize knee-splint (무릎 고정),,,,,200000,0,0,BC1010PR,,,,
177,177,안산21세기병원,ankle brace,,,,,30000,0,0,BC1212UZ,,,,
178,178,안산21세기병원,"등, 허리, 엉치뼈보조기(Iso식 jacket)",,,,,300000,0,0,보조기,,,,
179,179,안산21세기병원,philadelpia brace,,,,,70000,0,0,20244,,,,
180,180,안산21세기병원,카티젤8.5g (금청),,,,,10000,0,0,684900011,,,,
181,181,안산21세기병원,Steri-Strip(3M)-1장,,,,,3000,0,0,BM5003EM,,,,
182,182,안산21세기병원,Top Probe,,,,,100000,0,0,BL9001WG,,,,
183,183,안산21세기병원,Silicone tape roll (1cut),,,,,5000,0,0,BM2001LG,,,,
184,184,안산21세기병원,X-LITE(open finger cast),,,,,15000,0,0,BM2001TM,,,,
185,185,안산21세기병원,제일콜레칼시페롤주,,,,,40000,0,0,645404681,,,,
186,186,안산21세기병원,2인실 실료차,상급병실료차액,,,,80000,0,0,,,,,
187,187,안산21세기병원,3인실 실료차,상급병실료차액,,,,40000,0,0,,,,,
188,188,안산21세기병원,혈소판 응집능검사-TRAP,검체검사료,,,,50000,0,0,BZ078,,,,
189,189,안산21세기병원,TBPE 정성-마약검사,검체검사료,,,,10000,0,0,,,,,
190,190,안산21세기병원,인플루엔자  A.B 바이러스검사(현장검사),검체검사료,,,,30000,0,0,CZ394,,,,
191,191,안산21세기병원,HCG정성(본인)-비급여,검체검사료,,,,6000,0,0,,,,,
192,192,안산21세기병원,TSH stimulating AB***비급여,검체검사료,,,,85000,0,0,CZ213,,,,
193,193,안산21세기병원,항CCP항체,검체검사료,,,,50000,0,0,,,,,
194,194,안산21세기병원,Glycoalbumin(GA),검체검사료,,,,25000,0,0,CZ241,,,,
195,195,안산21세기병원,병리조직(Block)-환자갖고감,검체검사료,,,,36400,0,0,C5916,,,,
196,196,안산21세기병원,Cytology slide 대여,검체검사료,,,,36400,0,0,C5916,,,,
197,197,안산21세기병원,조직 Slide(Stained)-환자 갖고 감,검체검사료,,,,27040,0,0,C5520,,,,
198,198,안산21세기병원,조직 Slide(Unstained)-환자 갖고 감,검체검사료,,,,27040,0,0,C5520,,,,
199,199,안산21세기병원,동작분석 역동 근전도(Dynamic EMG),기능검사료,,,,100000,0,0,EZ773,,,,
200,200,안산21세기병원,통증 역치검사,기능검사료,,,,100000,0,0,FY884,,,,
201,201,안산21세기병원,동적 족저압측정,기능검사료,,,,100000,0,0,EZ777,,,,
202,202,안산21세기병원,DITI (전신),기능검사료,,,,400000,0,0,EZ776,,,,
203,203,안산21세기병원,DITI -Cervical,기능검사료,,,,200000,0,0,EZ777,,,,
204,204,안산21세기병원,DITI -Lumbar,기능검사료,,,,200000,0,0,EZ778,,,,
205,205,안산21세기병원,Post op DITI -Lumbar,기능검사료,,,,200000,0,0,EZ779,,,,
206,206,안산21세기병원,Post Op DITI -Cervical,기능검사료,,,,200000,0,0,EZ780,,,,
207,207,안산21세기병원,Pulse Wave Velocity(맥파전달 속도 검사),기능검사료,,,,100000,0,0,EZ868,,,,
208,208,안산21세기병원,수면내시경-위+대장,진정내시경 환자관리표,,,,100000,0,0,,,,,
209,209,안산21세기병원,수면내시경(위)-비급여,진정내시경 환자관리표,,,,50000,0,0,,,,,
210,210,안산21세기병원,수면내시경-대장,진정내시경 환자관리표,,,,70000,0,0,,,,,
211,211,안산21세기병원,Ultrasonography-One Point 단순초음파(Ⅰ),초음파검사료,,,,50000,0,0,EB401,,,,
212,212,안산21세기병원,Ultrasonography-Simple 단순초음파(Ⅱ),초음파검사료,,,,100000,0,0,EB402,,,,
213,213,안산21세기병원,Ultrasonography-경부 초음파(갑상선·부갑상선),초음파검사료,,,,90000,0,0,EB414,,,,
214,214,안산21세기병원,Ultrasonography-(f/u) 제한적 경부초음파,초음파검사료,,,,90000,0,0,EB414001,,,,
215,215,안산21세기병원,"Ultrasonography-경부 초음파(갑상선,부갑상선 제외)",초음파검사료,,,,90000,0,0,EB415,,,,
216,216,안산21세기병원,Ultrasonography-흉부초음파(유방·액와부 제외),초음파검사료,,,,100000,0,0,EB422,,,,
217,217,안산21세기병원,Echocardiography-심장 초음파(일반),초음파검사료,,,,170000,0,0,EB432,,,,
218,218,안산21세기병원,Ultrasonography-복부(간·담낭·담도·비장·췌장),초음파검사료,,,,100000,0,0,EB441,,,,
219,219,안산21세기병원,Ultrasono-(f/u) 제한적 복부 초음파,초음파검사료,,,,100000,0,0,EB441001,,,,
220,220,안산21세기병원,Ultrasonography-복부초음파(충수),초음파검사료,,,,100000,0,0,EB443,,,,
221,221,안산21세기병원,Ultrasonography-비뇨기계 초음파(신장·부신·방광),초음파검사료,,,,100000,0,0,EB448,,,,
222,222,안산21세기병원,Ultrasonography-(f/u) 제한적 비뇨기계 초음파,초음파검사료,,,,100000,0,0,EB448001,,,,
223,223,안산21세기병원,Ultrasonography-비뇨기계 초음파(신장·부신),초음파검사료,,,,100000,0,0,EB449,,,,
224,224,안산21세기병원,Ultrasonography-비뇨기계 초음파(방광),초음파검사료,,,,100000,0,0,EB450,,,,
225,225,안산21세기병원,Ultrasonography-관절 초음파-손가락(편측),초음파검사료,,,,90000,0,0,EB461,,,,
226,226,안산21세기병원,Ultrasonography-관절 초음파-발가락(편측),초음파검사료,,,,90000,0,0,EB462,,,,
227,227,안산21세기병원,Ultrasonography-주관절 초음파(편측),초음파검사료,,,,90000,0,0,EB463,,,,
228,228,안산21세기병원,Ultrasonography-슬관절 초음파(편측),초음파검사료,,,,90000,0,0,EB464,,,,
