병원명,명칭,분류,소분류,중분류,중복컬럼_1,중복컬럼_2,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
연세사랑병원,병실료차액,상급병실료차액,,,,,"190,000",,,AB9000,1인실,,,
연세건우병원,FLOSEAL,투약 및 주사료,,,,,"₩800,000",,,646601401,,,,
연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,,"₩16,606",,,657805301,,무통주사 약제,,
연세건우병원,로우칼정,투약 및 주사료,,,,,₩161,,,649500530,,,,
연세건우병원,로우칼캡슐,투약 및 주사료,,,,,₩161,,,649500540,,,,
연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,,"₩8,000",,,653401640,,,,
연세건우병원,말린다주,투약 및 주사료,,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,,"₩70,000",,,645101360,,,,
연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,,"₩35,000",,,654802250,,비타민D제,,
연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,,"₩150,000~160,500",,,647801080,,,,
연세건우병원,아미노헥스주,투약 및 주사료,,,,,"₩35,000",,,645103490,,,,
의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,,"24,000","24,000",,,,○,○
의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,,"80,000","80,000",,,,Χ,○
의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,,"1,000,000","1,000,000",,,,○,○
의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,,"70,000","70,000",,,,○,○
의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,,"50,000","80,000",,,,○,○
나누리수원병원,이베니티주 프리필드시린지,,,약제,,,,"700,000",,052300111,,2020.03.02.,○,○
나누리수원병원,C-IDET 1Level+LDISQ-Cervical,,,수술,,,,"2,500,000",,SZ083,,재료+행위료 포함,○,○
나누리수원병원,FIMS(CT Guide)-기타+보톡스주,,,이학요법료,,,,"380,000",,MZ001,,,○,Χ
나누리수원병원,박티그라거즈15*20㎠(창상보호제),,,처치재료대,,,,"7,000",,681800070,,2020.1.21.,Χ,Χ
나누리수원병원,페린젝트주10ml(500mg),,,약제,,,,"250,000",,644913140,,2020.1.15.,○,Χ
안산21세기병원,232 애니탈 삼중정-비급여(성인1일/3회/2정씩),,,,,,500,0,0,650201670,,,,
안산21세기병원,액티피드정 60mg(삼일)-비급여,,,,,,100,0,0,643900900,,,,
안산21세기병원,리큐어 현탁액 20g/1포(대원제약),,,,,,2500,0,0,671805330,,,,
안산21세기병원,233 베아제정(대웅)-비급여/1회1정 투여,,,,,,250,0,0,641601460,,,,
안산21세기병원,삐콤정(유한),,,,,,100,0,0,642100700,,,,
안산21세기병원,둘코락스에스정(비급여)-베링거,,,,,,1000,0,0,653501140,,,,
안산21세기병원,트레스탄캅셀-삼진,,,,,,1000,0,0,647802340,,,,
안산21세기병원,트라우밀 정,,,,,,1500,0,0,651300320,,,,
안산21세기병원,(원내만 가능) 실덤스카겔 15g,,,,,,45000,0,0,BM5001ZD,,,,
안산21세기병원,마데카솔케어연고(동국),,,,,,15000,0,0,653401640,,,,
안산21세기병원,이지에프새살연고 10g,,,,,,30000,0,0,641604660,,,,
안산21세기병원,쎄레스톤지 크림15g(유한),,,,,,4000,0,0,647501480,,,,
