,Unnamed: 0,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
0,0,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
23,23,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
24,24,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
25,25,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
26,26,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
27,27,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
28,28,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
29,29,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
30,30,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
31,31,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
32,32,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
37,37,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,"24,000","24,000",,,,○,○
38,38,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,"80,000","80,000",,,,Χ,○
39,39,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,"1,000,000","1,000,000",,,,○,○
40,40,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,"70,000","70,000",,,,○,○
41,41,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,"50,000","80,000",,,,○,○
42,42,의료법인나누리의료재단나누리병원,Kito Activator 3g,,,처치재료대,,,"24,000","24,000",,,,○,○
43,43,의료법인나누리의료재단나누리병원,MRI (HIP+S-I joint 추가),,,자기공명영상촬영(MRI),,,"250,000",,,,,○,○
44,44,의료법인나누리의료재단나누리병원,NEUROCHECK (족부수분검사),,,기타검사,,,"70,000",,,,,○,○
45,45,의료법인나누리의료재단나누리병원,허혈성 변형 알부민 검사,,,기타검사,,,"40,000",,,,,○,○
46,46,의료법인나누리의료재단나누리병원,Upper Extremity MRI,,,자기공명영상촬영(MRI),,,"490,000",,,,,Χ,Χ
47,47,의료법인나누리의료재단나누리병원,Dr.Med-Clavicle band (8자붕대),,,쇄골밴드,,,"80,000","80,000",,,,Χ,○
48,48,의료법인나누리의료재단나누리병원,리젠씰 1cc (6%),,,수술재료대,,,"1,000,000","1,000,000",,,,○,○
49,49,의료법인나누리의료재단나누리병원,Safety needle holder & adflex-si,,,처치재료대,,,"2,500",,,,혈액체취시 사용,○,○
50,50,의료법인나누리의료재단나누리병원,멸균생리식염주사액10ml 시린지,,,처치재료대,,,"1,100","1,100",,,,○,○
51,51,의료법인나누리의료재단나누리병원,생리식염주사액10ml 시린지 (대한),,,처치재료대,,,"1,100","1,100",,,,○,○
52,52,의료법인나누리의료재단나누리병원,필름 COPY(by DVD),,,필름 COPY/장당,,,"20,000","20,000",,,,Χ,○
53,53,의료법인나누리의료재단나누리병원,근로능력 평가용 진단서,,,진단서,,,"10,000",,,,,Χ,Χ
54,54,의료법인나누리의료재단나누리병원,통원 및 진료 확인서 (원본),,,증명료,,,"3,000",,,,장당,Χ,Χ
55,55,의료법인나누리의료재단나누리병원,영문진단서(원본),,,증명료,,,"20,000",,,,장당,Χ,Χ
56,56,의료법인나누리의료재단나누리병원,장기요양의사소견발급비용,,,증명료,,,"37,590","37,590",,,장당,Χ,Χ
57,57,의료법인나누리의료재단나누리병원,위너프페리주 362ml (중외),,,약제,,,"70,000","70,000",,,,○,○
58,58,의료법인나누리의료재단나누리병원,히로라인주(삼성제약),,,약제,,,"50,000","80,000",,,,○,○
59,59,의료법인나누리의료재단나누리병원,하브릭스주(A형간염 예방백신),,,약제,,,"70,000",,,,,○,○
60,60,의료법인나누리의료재단나누리병원,페린젝트주10ml/V,,,약제,,,"250,000",,,,,○,○
61,61,의료법인나누리의료재단나누리병원,세로나민주,,,약제,,,"35,000",,,,,○,○
62,62,의료법인나누리의료재단나누리병원,보호자치료식,,,식대,,,"8,000",,,,1끼,Χ,Χ
63,63,의료법인나누리의료재단나누리병원,공기밥 추가,,,식대,,,"1,000",,,,1EA,Χ,Χ
64,64,의료법인나누리의료재단나누리병원,보호자일반식,,,식대,,,"7,000",,,,1끼,Χ,Χ
65,65,의료법인나누리의료재단나누리병원,실료차액 1인실,,,병실차액,,,"150,000",,,,1일,Χ,Χ
66,66,의료법인나누리의료재단나누리병원,입원물품셋트,,,기타,,,"15,000",,,,1EA,Χ,Χ
67,67,의료법인나누리의료재단나누리병원,멸균생리식염키트90ml(대한),,,약제,,,"5,000",,,,,○,○
68,68,의료법인나누리의료재단나누리병원,조스타박스주(대상포진백신),,,약제,,,"180,000",,,,1EA,Χ,Χ
69,69,의료법인나누리의료재단나누리병원,floseal hemostatic matrix,,,수술재료대,,,"700,000",,,,ea,Χ,Χ
70,70,의료법인나누리의료재단나누리병원,리젠씰 3cc (6%),,,수술재료대,,,"2,500,000",,,,ea,Χ,Χ
71,71,의료법인나누리의료재단나누리병원,Prestige Cervical Disc System,,,수술재료대,,,"5,500,000",,,,ea,Χ,Χ
72,72,의료법인나누리의료재단나누리병원,Baguera-C,,,수술재료대,,,"5,500,000",,,,ea,Χ,Χ
73,73,의료법인나누리의료재단나누리병원,후시딘연고 10g,,,약제,,,"8,000",,,,1ea,Χ,Χ
74,74,의료법인나누리의료재단나누리병원,브리디온주2ml,,,약제,,,"200,000",,,,1ea,Χ,Χ
75,75,의료법인나누리의료재단나누리병원,Opsite Post-Op,,,처치재료대,,,"2,000","5,000",,,개당,Χ,Χ
76,76,의료법인나누리의료재단나누리병원,스폰고스탄 (지혈제),,,수술재료대,,,"30,000",,,,1개,Χ,Χ
77,77,의료법인나누리의료재단나누리병원,Dc Spine Wand Surgical Device System(cervical),,,수술재료대,,,"1,500,000",,,,1ea,Χ,Χ
78,78,의료법인나누리의료재단나누리병원,Allomatrix dr Bone Putty,,,수술재료대,,,"1,500,000",,,,1ea,Χ,Χ
79,79,의료법인나누리의료재단나누리병원,덱스메딘주,,,약제,,,"60,000",,,,1개,Χ,Χ
80,80,의료법인나누리의료재단나누리병원,각종 비타민 및 미네랄 주사제,,,약제,,,"1,000","16,000",,,각각,Χ,Χ
81,81,의료법인나누리의료재단나누리병원,비타민D 주사,,,약제,,,"50,000",,,,1회,Χ,Χ
82,82,의료법인나누리의료재단나누리병원,Demios 2.5cc,,,수술재료대,,,"950,000",,,,ea,Χ,Χ
83,83,의료법인나누리의료재단나누리병원,인플루엔자4가,,,약제,,,"30,000",,,,1개,Χ,Χ
84,84,의료법인나누리의료재단나누리병원,트레스탄캅셀,,,약제,,,500,,,,1캅셀,Χ,Χ
85,85,의료법인나누리의료재단나누리병원,아큐판주,,,약제,,,"4,000",,,,1vial,Χ,Χ
86,86,의료법인나누리의료재단나누리병원,타우로린주,,,약제,,,"70,000",,,,1병,Χ,Χ
87,87,의료법인나누리의료재단나누리병원,니트로푸라존 연고,,,약제,,,600,,,,1장,Χ,Χ
88,88,의료법인나누리의료재단나누리병원,프로즌겔스포츠롤(82g),,,약제,,,"15,000",,,,1개,Χ,Χ
89,89,의료법인나누리의료재단나누리병원,유박스B프리필주,,,약제,,,"20,000",,,,1회,Χ,Χ
90,90,의료법인나누리의료재단나누리병원,헤파비아주500ml (수액수기료포함),,,약제,,,"50,000",,,,1EA,Χ,Χ
91,91,의료법인나누리의료재단나누리병원,에이티피주,,,약제,,,"35,000",,,,1EA,Χ,Χ
92,92,의료법인나누리의료재단나누리병원,Demios 1cc,,,수술재료대,,,"450,000",,,,1EA,Χ,Χ
93,93,의료법인나누리의료재단나누리병원,카티필,,,수술재료대,,,"2,500,000",,,,1EA,Χ,Χ
94,94,의료법인나누리의료재단나누리병원,하이배리 3g,,,수술재료대,,,"450,000",,,,1ea,Χ,Χ
95,95,의료법인나누리의료재단나누리병원,Mobi-C With Plug & Fit,,,수술재료대,,,"5,500,000",,,,1EA,Χ,Χ
96,96,의료법인나누리의료재단나누리병원,프리베나13주,,,약제,,,"130,000",,,,1회,Χ,Χ
97,97,의료법인나누리의료재단나누리병원,Allomatrix 1cc,,,수술재료대,,,"880,000",,,,1EA,Χ,Χ
98,98,의료법인나누리의료재단나누리병원,Surgical pad,,,처치재료대,,,"3,000",,,,1회,Χ,Χ
99,99,의료법인나누리의료재단나누리병원,Coban,,,처치재료대,,,500,"4,500",,,1EA,Χ,Χ
