,hspt_name,url,depth,text,date
157,연세사랑병원,http://www.yonserang.com/template/etc/non_pay_guide.php,1,비급여진료비이용안내,200302
173,연세건우병원,http://www.healthyfriend.co.kr/introduce/be,1,-비급여,200302
426,바른세상병원,https://www.barunsesang.co.kr/guide/unlnsuraList.php,1,비급여 진료비안내,200302
591,의료법인나누리의료재단나누리병원,http://gs.nanoori.co.kr/policy/policy4,1,비급여진료비조회,200302
622,나누리수원병원,http://sw.nanoori.co.kr/policy/policy4,1,비급여진료비조회,200302
633,안산21세기병원,http://www.ansan21.com/guide/article/index.php,1,비급여항목,200302
835,뿌리병원,http://www.ppuricj.co.kr/info/info05.html,1,비급여 안내,200302
864,바로병원,http://www.baro119.co.kr/bbs/board.php?bo_table=medical3,1,비급여항목,200302
1098,달려라병원,http://www.hospitalrun.co.kr/rule/no-insure,1,비급여고지,200302
1157,의료법인 토마스의료재단 윌스기념병원,http://www.allspine.com/hosp/hosp05.html,1,비급여 진료비 안내,200302
1168,에이스병원,http://www.acemedi.com/system/hpbbs/board.php?bo_table=medico,1,비급여진료비안내,200302
1212,세계로병원,https://www.segyero365.com:443/cms/board.php?bo_table=page12,1,비급여진료비,200302
1358,최경진정형외과의원,http://www.foothospital.co.kr/content/content.asp?FolderName=sub05&filename=sub05_07,1,비급여항목 현황표,200302
1366,최경진정형외과의원,http://www.foothospital.co.kr/Module/MBoard/MBoard.asp?Gubun=1&Srno=157990&PState=View,1,비급여 안내,200302
1396,부산본병원,http://www.bonhospital.co.kr/notice/nonpay/index.jsp,1,비급여안내,200302
1498,예손병원,https://www.yesonhospital.com/page.php?pageIndex=120108,1,비급여안내,200302
1555,메트로병원,https://www.metro-suseong.co.kr/visitor/guide.php,1,비급여 안내,200302
1584,메트로병원,https://www.metro-suseong.co.kr/bbs/notice/view.php?cell=1&num=161,1,비급여 고지 ,200302
1585,메트로병원,https://www.metro-suseong.co.kr/bbs/notice/view.php?cell=1&num=160,1,비급여 항목별 금액 고지내용 ,200302
1683,서울척병원,https://www.seoulchuk.com/info/excluded/list.do,1,비급여 안내,200302
1740,의료법인 장산의료재단이춘택병원,http://www.lct.co.kr/sub02/sub0207.php,1,비급여안내,200302
1800,국제나은병원,https://www.naeunhospital.com/bbs/board.php?bo_table=affc&p=foot&s=2,1,비급여진료비 비용안내,200302
1827,굿닥터튼튼병원,http://www.tntnhospital.com/sub/sub0504.php?category=행위료,1,비급여 안내,200302
1874,고도일병원,https://www.godoil.com/guide/guide07.php,1,비급여현황,200302
